Project: lab6
Revision: lab6
Flow Start Date: Sun Dec 07 09:47:37 +0700 2025
Flow End Date: Sun Dec 07 10:25:44 +0700 2025

Detailed Results
Point,base-slow,base-fast,1-slow,1-fast (Best),2-slow,2-fast,3-slow,3-fast,4-slow,4-fast,5-slow,5-fast,6-slow,6-fast,7-slow,7-fast,8-slow,8-fast,9-slow,9-fast,10-slow,10-fast,11-slow,11-fast,12-slow,12-fast,13-slow,13-fast,14-slow,14-fast,15-slow,15-fast,16-slow,16-fast,17-slow,17-fast,18-slow,18-fast,19-slow,19-fast,20-slow,20-fast,21-slow,21-fast,22-slow,22-fast,23-slow,23-fast,24-slow,24-fast,25-slow,25-fast,26-slow,26-fast,27-slow,27-fast
All Failing Paths,0,0,0,0,>0,0,0,0,0,0,0,0,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clock Hold: 'clk_sys': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'clk_sys': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'clk_sys': Worst-case Slack,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,unknown,unknown,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,unknown,unknown,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns,0.391 ns,0.215 ns
Clock Hold: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,unknown,unknown,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Clock Period: Geometric Mean,9.96 ns,4.49 ns,9.4 ns,4.22 ns,10.0 ns,4.47 ns,8.5 ns,3.96 ns,9.67 ns,4.38 ns,9.99 ns,4.46 ns,unknown,unknown,9.55 ns,4.31 ns,9.46 ns,4.32 ns,9.4 ns,4.22 ns,8.87 ns,4.02 ns,9.81 ns,4.38 ns,9.4 ns,4.22 ns,9.55 ns,4.31 ns,9.46 ns,4.32 ns,9.4 ns,4.22 ns,9.17 ns,4.12 ns,9.81 ns,4.38 ns,8.7 ns,3.88 ns,unknown,unknown,8.85 ns,4.08 ns,8.81 ns,3.94 ns,9.03 ns,4.07 ns,8.62 ns,3.92 ns,8.99 ns,4.02 ns,9.37 ns,4.19 ns,8.76 ns,3.97 ns,8.89 ns,4.02 ns
Clock Recovery: Total Keeper TNS,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,unknown,unknown,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,unknown,unknown,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns
Clock Removal: Total Keeper TNS,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,unknown,unknown,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,unknown,unknown,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns
Clock Setup: 'clk_sys': Actual Time,9.964 ns,4.488 ns,9.400 ns,4.223 ns,10.004 ns,4.466 ns,8.502 ns,3.959 ns,9.671 ns,4.378 ns,9.986 ns,4.459 ns,unknown,unknown,9.548 ns,4.305 ns,9.460 ns,4.321 ns,9.400 ns,4.223 ns,8.872 ns,4.018 ns,9.808 ns,4.380 ns,9.400 ns,4.223 ns,9.548 ns,4.305 ns,9.460 ns,4.321 ns,9.400 ns,4.223 ns,9.170 ns,4.121 ns,9.808 ns,4.380 ns,8.698 ns,3.882 ns,unknown,unknown,8.854 ns,4.076 ns,8.811 ns,3.935 ns,9.026 ns,4.074 ns,8.623 ns,3.917 ns,8.991 ns,4.017 ns,9.366 ns,4.189 ns,8.762 ns,3.970 ns,8.888 ns,4.020 ns
Clock Setup: 'clk_sys': Fmax,100.36 MHz,222.82 MHz,106.38 MHz,236.8 MHz,99.96 MHz,223.91 MHz,117.62 MHz,252.59 MHz,103.4 MHz,228.41 MHz,100.14 MHz,224.27 MHz,unknown,unknown,104.73 MHz,232.29 MHz,105.71 MHz,231.43 MHz,106.38 MHz,236.8 MHz,112.71 MHz,248.88 MHz,101.96 MHz,228.31 MHz,106.38 MHz,236.8 MHz,104.73 MHz,232.29 MHz,105.71 MHz,231.43 MHz,106.38 MHz,236.8 MHz,109.05 MHz,242.66 MHz,101.96 MHz,228.31 MHz,114.97 MHz,257.6 MHz,unknown,unknown,112.94 MHz,245.34 MHz,113.49 MHz,254.13 MHz,110.79 MHz,245.46 MHz,115.97 MHz,255.3 MHz,111.22 MHz,248.94 MHz,106.77 MHz,238.72 MHz,114.13 MHz,251.89 MHz,112.51 MHz,248.76 MHz
